Model,Accuracy,Precision,Recall,F1 Score,Parameters,Epochs,Training Time (s)
LSTM,0.9185612487275195,0.9207048296185745,0.9185612487275195,0.9173092736848003,79302,29,181.12
GRU,0.9043094672548354,0.9063085742578615,0.9043094672548354,0.9042517673120116,62022,20,118.18
Dense,0.8900576857821514,0.8955709954370615,0.8900576857821514,0.8894706186745341,755334,14,18.16
CNN,0.8859857482185273,0.8898814293320146,0.8859857482185273,0.8863377540019768,36294,12,25.93
CNN-LSTM,0.8832711231761113,0.8853890561772566,0.8832711231761113,0.8832510107210104,40518,13,65.73
Simple RNN,0.7271801832371904,0.7632108995391688,0.7271801832371904,0.7228107358738465,26310,26,115.1
